Date,Username,Content,Mentions
"2023-02-16,03:11:00",MvPain,https://tenor.com/view/trollge-troll-troll-face-meme-horror-gif-24782665,
"2023-02-16,03:10:31",KFC,bring them,
"2023-02-16,03:10:07",MvPain,Bro they’re right there,
"2023-02-15,18:38:59",aamindehkordi,lolol,
"2023-02-15,18:38:56",aamindehkordi,u cant cut off ur tounge,
"2023-02-15,18:38:45",aamindehkordi,bruhhhhhh,
"2023-02-15,18:18:15",KFC,bruh,
"2023-02-15,17:41:28",big papa,I think it’ll stop soon tho,
"2023-02-15,17:41:23",big papa,And now my mouth bleeding,
"2023-02-15,17:41:18",big papa,But I think I cut more then one off on accident,
"2023-02-15,17:41:09",big papa,Cuz it was bugging me,
"2023-02-15,17:41:05",big papa,I cut it off with scissors,
"2023-02-15,17:40:55",big papa,Like if u bit ur tongue it’s usually like that the next day,
"2023-02-15,17:40:53",~~Wild~~,yeah,
"2023-02-15,17:40:45",big papa,U know when u have a random tastebud that hurts like a bitch one day,
"2023-02-15,17:40:32",big papa,inflamed tastebud,
"2023-02-15,17:40:26",big papa,I had one of those like,
"2023-02-15,17:38:48",KFC,tf,
"2023-02-15,17:38:46",big papa,my mouth is bloody 😂😂😂,
"2023-02-15,17:38:32",big papa,BAHAHAHHAHAHA,
"2023-02-15,17:38:30",~~Wild~~,https://tenor.com/view/american-psycho-patrick-bateman-american-psycho-gif-7212093,
"2023-02-15,17:38:17",big papa,But look at this dumbass shit that I just did,
"2023-02-15,17:38:03",big papa,Nobody panic,
"2023-02-15,15:16:26",Hat Tipper Lady Acquirer,He’s cool,
"2023-02-15,15:16:25",Hat Tipper Lady Acquirer,He’s my old manager,
"2023-02-15,15:16:09",big papa,Timmy,
"2023-02-15,15:16:07",big papa,Yup,
"2023-02-15,15:11:00",Hat Tipper Lady Acquirer,If his name is Timmy he’s the manager and he’s cool,
"2023-02-15,15:10:49",big papa,<@573586960938172466> thought of u,Hat Tipper Lady Acquirer#1904
"2023-02-15,15:10:40",big papa,There’s a Mexican guy working at this blue bowl,
"2023-02-15,14:23:57",KFC,7 i think,
"2023-02-15,14:23:47",Hat Tipper Lady Acquirer,What time is it at,
"2023-02-15,14:22:30",big papa,Damn,
"2023-02-15,14:21:48",big papa,Oh tonight,
"2023-02-15,14:10:14",KFC,they're host a black history trivia night 25$ gift card for eahc member of winning team,
"2023-02-15,14:09:55",KFC,if you show up tonight you might be able to,
"2023-02-15,14:04:10",big papa,Do I win prize,
"2023-02-15,14:04:07",big papa,Can I participate,
"2023-02-15,14:04:04",big papa,What is this,KFC#2019
"2023-02-15,13:48:34",big papa,Lol,Hat Tipper Lady Acquirer#1904
"2023-02-15,13:28:04",Hat Tipper Lady Acquirer,Don't buy me anythign,
"2023-02-15,13:27:56",Hat Tipper Lady Acquirer,but keep it!!!,
"2023-02-15,13:27:52",Hat Tipper Lady Acquirer,Nice,
"2023-02-15,13:24:35",big papa,I needed money for <@573586960938172466> birthday present,Hat Tipper Lady Acquirer#1904
"2023-02-15,13:24:26",big papa,I’m so glad,
"2023-02-15,13:19:45",~~Wild~~,lets fucking go,
"2023-02-15,13:19:21",big papa,Not $225,
"2023-02-15,13:18:54",big papa,I negotiated with this guy to give me $300 for his paper,
"2023-02-15,13:18:43",big papa,Update,
"2023-02-15,10:49:26",Hat Tipper Lady Acquirer,I’m confused,big papa#5892
"2023-02-15,10:49:08",Hat Tipper Lady Acquirer,Caf @ 11?,
"2023-02-14,22:40:20",MvPain,💀,
"2023-02-14,22:34:15",big papa,I told him to walk while lunging and motion putting on deodorant,
"2023-02-14,17:42:56",Hat Tipper Lady Acquirer,Of course!,
"2023-02-14,17:31:38",big papa,I actually start crying,
"2023-02-14,17:31:33",big papa,I cry,
"2023-02-14,17:21:42",big papa,😭😭😭😭😭,
"2023-02-14,17:21:39",big papa,THANKS GUYS,
"2023-02-14,17:21:37",big papa,AWWWWW,
"2023-02-14,15:14:58",~~Wild~~,here's itinerary,
"2023-02-14,13:19:53",aamindehkordi,Happy Valentine’s Day 🙂,
"2023-02-14,12:29:59",KFC,ok,
"2023-02-14,12:29:51",Hat Tipper Lady Acquirer,Just finished linear,
"2023-02-14,12:29:42",Hat Tipper Lady Acquirer,Rn,
"2023-02-14,12:29:08",KFC,when,
"2023-02-14,12:28:49",Hat Tipper Lady Acquirer,Caf looks good today,
"2023-02-14,00:51:33",big papa,Happy Valentine’s Day to my favorite boys & prettiest girl cat 🤍🤍🤍 love you all and hope that whether single or not you guys can all appreciate the day of love by reflecting on all the people you love in your life (romantically or not)! I love you all very much as best friends and always wish u guys the best ever & hope you guys keep doing what y’all are doing and love each other hehe. Happy valentines !! :-))) @everyone,
"2023-02-13,23:31:44",big papa,That reminded me of them lol,
"2023-02-13,23:31:37",big papa,I have an ex-best friend who one year changed to they/them and likes to be called lizard king,aamindehkordi#1473
"2023-02-13,20:51:46",aamindehkordi,If I ever put out an album it would be called death of the lizard,
"2023-02-13,20:31:48",aamindehkordi,Yea idk if chem is for me,
"2023-02-13,20:27:41",KFC,Ali,
"2023-02-13,20:27:35",big papa,Who did that 😭😭😭,
"2023-02-13,20:27:29",big papa,1/11 😭😭😭😭,
"2023-02-13,17:13:33",KFC,who let him cook,
"2023-02-13,17:13:27",KFC,Carbonate Acid,
"2023-02-13,17:08:55",big papa,THATS CRAZY WHAT THE GOOD JOBBB ROBBY !!! 🥳🥳🥳,~~Wild~~#5104
"2023-02-13,17:08:33",big papa,EWWWWW,
"2023-02-13,16:51:20",aamindehkordi,Bro y is it flooded in the bathroom doggggg,
"2023-02-13,16:37:22",~~Wild~~,lets fucking go,
"2023-02-13,16:37:19",~~Wild~~,I got a 94 on the chem test,
"2023-02-13,16:37:10",~~Wild~~,HOLY SHIT,
"2023-02-13,15:17:54",aamindehkordi,I was right on the mark,
"2023-02-13,15:17:49",aamindehkordi,I got a 68% on chem,
"2023-02-13,12:43:49",aamindehkordi,I’ll eat anything,
"2023-02-13,12:43:45",aamindehkordi,Truuu,
"2023-02-13,12:40:38",KFC,you should call ahead some orders,
"2023-02-13,12:29:21",aamindehkordi,I’m j showering now I’ll be there soon,
"2023-02-13,11:55:10",big papa,I don’t think so 😂😂,
"2023-02-13,11:49:35",~~Wild~~,Do you get discounts on those,
"2023-02-13,11:49:28",~~Wild~~,YOOO,
"2023-02-13,11:43:40",KFC,berserk,
"2023-02-13,11:42:41",big papa,Look what UCI has,
"2023-02-13,11:42:33",big papa,<@246124303643312138> bruh,~~Wild~~#5104
"2023-02-13,11:06:59",~~Wild~~,Meet at dorm at 1,
"2023-02-13,11:06:52",~~Wild~~,Yeah,
"2023-02-13,11:06:47",MvPain,I’ll come if I get a ride,
"2023-02-13,11:06:44",~~Wild~~,Ok I pick u up at 1,
"2023-02-13,11:06:35",Hat Tipper Lady Acquirer,Me,
"2023-02-13,11:06:28",~~Wild~~,Anyone else going to El vacquero,
"2023-02-13,09:42:25",MvPain,Did I leave on the boat hobbit style?,
"2023-02-13,09:32:40",big papa,"<@176517621951365120> you were in my dream and ur dad (idk who ur dad is tho or what he looks like but I knew it was ur dad). Anyways In my dream I was using a measuring tape and measuring how tall u guys are and we found out you guys are giants, at some point u went back home by boat and that was sad, <@443274224505716741> was also in my dream and bald, idk why but he was",MvPain#4262、jettaquino#4967
"2023-02-13,05:00:21",aamindehkordi,"Tell me why it took 7 hours of play time to unlock the skill tree and fly, Howard’s is goated tho",
"2023-02-13,00:13:50",KFC,I did a lot better than I thought,
"2023-02-13,00:13:39",KFC,what did you guys get on the chem test,
"2023-02-12,23:35:27",Teela Pup,It was the most disgusting thing I’ve ever witnessed,
"2023-02-12,23:35:15",Teela Pup,Also jiji just took a shit and then kicked chunks of it onto the floor 💀,
"2023-02-12,23:34:45",Teela Pup,I’m down to go I just gotta be back by 3 too,
"2023-02-12,21:20:30",aamindehkordi,"the ai just made a joke, unprompted: ```So, as you can see, Edge and Chrome have similar performance on macOS and your MacBook configuration, but Edge may have some edge (pun intended) over Chrome in terms of CPU and RAM usage and M1 optimization. I hope this helps you make an informed decision.```",
"2023-02-12,21:04:36",aamindehkordi,holy,
"2023-02-12,21:03:26",aamindehkordi,I just got gpt-4 aka gpt+internet aka bing,
"2023-02-12,20:47:45",~~Wild~~,ali jett and i,
"2023-02-12,20:47:33",big papa,Who is coming ?,
"2023-02-12,20:44:25",~~Wild~~,if no one cares than i can drivce,
"2023-02-12,20:44:09",~~Wild~~,so if someone else wants to,
"2023-02-12,20:43:55",~~Wild~~,"i can drive, but i dont have ac",
"2023-02-12,20:43:31",~~Wild~~,bet,
"2023-02-12,20:43:22",big papa,Oh yayyyy,jettaquino#4967
"2023-02-12,20:41:06",jettaquino,Nah it’s fine I can be back by 3,
"2023-02-12,20:40:46",~~Wild~~,"I can't sadly, but we can do something closer",
"2023-02-12,20:40:30",big papa,Can we go earlier than 1,
"2023-02-12,20:40:25",big papa,@everyone Jett has to be back by 2,
"2023-02-12,20:29:05",big papa,😂😂😂,
"2023-02-12,20:29:03",big papa,My b I meant to tag Ali I saw u said yes already,Hat Tipper Lady Acquirer#1904
"2023-02-12,20:28:39",Hat Tipper Lady Acquirer,Yes’m,
"2023-02-12,20:28:26",big papa,R u guys coming too?,
"2023-02-12,20:28:21",big papa,<@657834634205200395> <@176517621951365120> <@429701532309520404> <@853858084866621480> <@564324586012016650> <@443274224505716741>,MvPain#4262、jettaquino#4967、IsaacM#8081、Teela Pup#8038、aamindehkordi#1473、KFC#2019
"2023-02-12,20:27:42",big papa,Just text me,
"2023-02-12,20:27:39",big papa,Pick me up whenever,
"2023-02-12,20:27:38",Hat Tipper Lady Acquirer,Also yes,~~Wild~~#5104
"2023-02-12,20:27:27",~~Wild~~,siiiiiiiiiiiiick,
"2023-02-12,20:27:21",big papa,sounds good,
"2023-02-12,20:27:11",~~Wild~~,you'll be back before then,
"2023-02-12,20:26:49",big papa,I have to go back to school no later than 3,
"2023-02-12,20:26:40",big papa,Oh,KFC#2019
"2023-02-12,20:26:39",~~Wild~~,lol,
"2023-02-12,20:26:39",~~Wild~~,oh yeah,
"2023-02-12,20:26:26",KFC,Yeah but with customer service you're coming back 2hrs later,
"2023-02-12,20:26:23",big papa,Oki I’m down,
"2023-02-12,20:25:48",~~Wild~~,"not really, it like 12 mins away, and i can drive",
"2023-02-12,20:25:32",aamindehkordi,u j come to school we drive the rest,
"2023-02-12,20:25:22",big papa,THATS SO FAR,~~Wild~~#5104
"2023-02-12,20:25:10",big papa,This slay,aamindehkordi#1473
"2023-02-12,20:25:09",~~Wild~~,lets get el vacquero,
"2023-02-12,20:24:59",aamindehkordi,and im down for lunch,
